trID,time,oldVer,newVer,#oldT,#newT,#oldA,#newA,tIns,tDel,aIns,aDel,aTypeAlt,keyAlt,aTabIns,aTabDel
118,rev_1.119,rev_1.118.sql,rev_1.119.sql,43,43,286,286,0,0,1,1,0,0,0,0
119,rev_1.120,rev_1.119.sql,rev_1.120.sql,43,43,286,281,0,0,0,5,0,0,0,0
120,rev_1.121,rev_1.120.sql,rev_1.121.sql,43,43,281,280,0,0,0,1,0,0,0,0
121,rev_1.122,rev_1.121.sql,rev_1.122.sql,43,44,280,285,1,0,0,0,0,0,5,0
122,rev_1.123,rev_1.122.sql,rev_1.123.sql,44,44,285,283,0,0,0,2,0,0,0,0
123,rev_1.124,rev_1.123.sql,rev_1.124.sql,44,44,283,284,0,0,1,0,0,0,0,0
124,rev_1.125,rev_1.124.sql,rev_1.125.sql,44,44,284,284,0,0,1,1,0,0,0,0
125,rev_1.126,rev_1.125.sql,rev_1.126.sql,44,44,284,286,0,0,2,0,0,0,0,0
126,rev_1.127,rev_1.126.sql,rev_1.127.sql,44,44,286,287,0,0,1,0,0,0,0,0
127,rev_1.128,rev_1.127.sql,rev_1.128.sql,44,44,287,288,0,0,1,0,0,0,0,0
128,rev_1.129,rev_1.128.sql,rev_1.129.sql,44,46,288,294,2,0,0,0,0,0,6,0
129,rev_1.130,rev_1.129.sql,rev_1.130.sql,46,46,294,294,0,0,0,0,0,0,0,0
130,rev_1.131,rev_1.130.sql,rev_1.131.sql,46,46,294,295,0,0,1,0,0,0,0,0
131,rev_1.132,rev_1.131.sql,rev_1.132.sql,46,47,295,298,1,0,0,0,0,0,3,0
132,rev_1.133,rev_1.132.sql,rev_1.133.sql,47,47,298,299,0,0,1,0,0,0,0,0
133,rev_1.134,rev_1.133.sql,rev_1.134.sql,47,47,299,300,0,0,1,0,0,0,0,0
134,rev_1.135,rev_1.134.sql,rev_1.135.sql,47,48,300,311,2,1,6,2,0,0,16,9
135,rev_1.136,rev_1.135.sql,rev_1.136.sql,48,48,311,311,0,0,1,1,0,0,0,0
136,rev_1.137,rev_1.136.sql,rev_1.137.sql,48,48,311,313,0,0,2,0,0,0,0,0
137,rev_1.138,rev_1.137.sql,rev_1.138.sql,48,48,313,313,0,0,0,0,0,0,0,0
138,rev_1.139,rev_1.138.sql,rev_1.139.sql,48,45,313,295,0,3,0,0,0,0,0,18
139,rev_1.140,rev_1.139.sql,rev_1.140.sql,45,45,295,296,0,0,1,0,0,0,0,0
140,rev_1.141,rev_1.140.sql,rev_1.141.sql,45,45,296,298,0,0,2,0,0,0,0,0
141,rev_1.142,rev_1.141.sql,rev_1.142.sql,45,45,298,298,0,0,1,1,0,0,0,0
142,rev_1.143,rev_1.142.sql,rev_1.143.sql,45,45,298,298,0,0,0,0,0,0,0,0
143,rev_1.144,rev_1.143.sql,rev_1.144.sql,45,45,298,299,0,0,1,0,0,0,0,0
144,rev_1.145,rev_1.144.sql,rev_1.145.sql,45,47,299,306,2,0,1,0,1,0,6,0
145,rev_1.146,rev_1.145.sql,rev_1.146.sql,47,46,306,298,1,2,0,0,0,0,6,14
146,rev_1.147,rev_1.146.sql,rev_1.147.sql,46,46,298,298,0,0,1,1,0,0,0,0
147,rev_1.148,rev_1.147.sql,rev_1.148.sql,46,46,298,298,0,0,1,1,0,0,0,0
148,rev_1.149,rev_1.148.sql,rev_1.149.sql,46,46,298,298,0,0,0,0,1,0,0,0
149,rev_1.150,rev_1.149.sql,rev_1.150.sql,46,47,298,301,1,0,0,0,0,0,3,0
150,rev_1.151,rev_1.150.sql,rev_1.151.sql,47,47,301,300,0,0,2,3,0,0,0,0
151,rev_1.152,rev_1.151.sql,rev_1.152.sql,47,47,300,301,0,0,1,0,0,0,0,0
152,rev_1.153,rev_1.152.sql,rev_1.153.sql,47,47,301,299,0,0,0,2,0,0,0,0
153,rev_1.154,rev_1.153.sql,rev_1.154.sql,47,48,299,302,1,0,0,0,0,0,3,0
154,rev_1.155,rev_1.154.sql,rev_1.155.sql,48,48,302,305,0,0,3,0,0,0,0,0
155,rev_1.156.0,rev_1.155.sql,rev_1.156.0.sql,48,48,305,305,0,0,2,2,0,0,0,0
156,rev_1.156.06.1,rev_1.156.0.sql,rev_1.156.06.1.sql,48,48,305,306,0,0,1,0,0,0,0,0
157,rev_1.156.08.1,rev_1.156.06.1.sql,rev_1.156.08.1.sql,48,48,306,306,0,0,1,1,0,0,0,0
158,rev_1.156.10.1,rev_1.156.08.1.sql,rev_1.156.10.1.sql,48,48,306,306,0,0,1,1,0,0,0,0
159,rev_1.157,rev_1.156.10.1.sql,rev_1.157.sql,48,48,306,306,0,0,1,1,0,0,0,0
